LEI_code,Name,Country
HRRVUBV0XN84YQZT6245,DEPFA BANK Plc,Ireland
635400DTNHVYGZODKQ93,Permanent TSB Group Holdings Plc,Ireland
635400KQIMALJ4XLAD78,Ulster Bank Ireland Limited,Ireland
F1T87K3OQ2OV1UORLH26,Banca Carige SpA - Cassa di Risparmio di Genova e Imperia,Italy
J4CP7MHCXR8DAQMKIL78,Banca Monte dei Paschi di Siena SpA,Italy
N747OI7JINV7RUUH6190,Banca popolare dell'Emilia Romagna SC,Italy
J48C8PCSJVUBR8KCW529,Banca Popolare di Sondrio,Italy
V3AFM0G2D3A6E0QWDG59,Banca Popolare di Vicenza SCpA,Italy
5493006P8PDBI8LC0O96,Banco Popolare Società Cooperativa,Italy
815600AD83B2B6317788,Credito Emiliano Holding SpA,Italy
NNVPP80YIZGEY2314M97,Iccrea Banca Spa Istituto Centrale del Credito Cooperativo,Italy
2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Italy
PSNL19R2RXX5U3QWHI44,Mediobanca - Banca di Credito Finanziario SpA,Italy
549300TRUWO2CD2G5692,UniCredit SpA,Italy
81560097964CBDAED282,Unione di Banche Italiane SCpA,Italy
549300W9STRUCJ2DLU64,Veneto Banca SCpA,Italy
549300IHIJ7SCANBWN17,ABLV Bank,Latvia
549300YW95G1VBBGGV07,AS SEB banka,Latvia
549300FXBIWWGK7T0Y98,Swedbank AS,Latvia
213800ZY8OD37RGI4E67,AB DNB bankas,Lithuania
549300SBPFE9JX7N8J82,AB SEB bankas,Lithuania
549300GH3DFCXVNBHE59,Swedbank AB,Lithuania
R7CQUF1DQM73HUTV1078,"Banque et Caisse d'Epargne de l'Etat, Luxembourg",Luxembourg
UAIAINAJ28P30E5GWE37,BGL BNP Paribas,Luxembourg
529900FIAMEJDQ8C9097,Deutsche Bank Luxembourg S.A.,Luxembourg
549300AUUQG072ATL746,Precision Capital S.A.,Luxembourg
549300IVXKQHV6O7PY61,RBC Investor Services Bank S.A.,Luxembourg
TPS0Q8GFSZF45ZZFL873,Société Générale Bank & Trust,Luxembourg
RNVZOEETEJ32KW0QXS82,State Street Bank Luxembourg S.A.,Luxembourg
7W1GMC6J4KGLBBUSYP52,J.P. Morgan Bank Luxembourg S.A.,Luxembourg
529900RWC8ZYB066JF16,Bank of Valletta Plc,Malta
213800EUDXECGWMKKR98,Commbank Europe Ltd,Malta
549300X34UUBDEUL1Z91,HSBC Bank Malta Plc,Malta
213800TC9PZRBHMJW403,Medifin Holding Ltd,Malta
724500DWE10NNL1AXZ52,ABN AMRO Groep N.V.,Netherlands
DG3RU1DBUFHT4ZF9WN62,Coöperatieve Rabobank U.A.,Netherlands
549300NYKK9MWM7GGW15,ING Groep N.V.,Netherlands
529900GGYMNGRQTDOO93,N.V. Bank Nederlandse Gemeenten,Netherlands
JLP5FSPH9WPSHY3NIM24,Nederlandse Waterschapsbank N.V.,Netherlands
724500VLXQUMMD5BJB61,SNS Holding B.V.,Netherlands
549300GKFG0RYRRQ1414,DNB ASA,Norway
7V6Z97IO7R1SEAO84Q32,SPAREBANK 1 SMN,Norway
549300Q3OIWRHQUQM052,SR-bank,Norway
5493000LKS7B3UTF7H35,Bank Polska Kasa Opieki SA,Poland
259400LGXW3K0GDAG361,Bank Zachodni WBK SA,Poland
P4GTT6GF1W40CVIMFR43,Powszechna Kasa Oszczędności Bank Polski SA,Poland
3DM5DPGI3W6OU6GJ4N92,Banco BPI SA,Portugal
JU1U6S0DG9YLT7N8ZV32,Banco Comercial Português SA,Portugal
529900H2MBEC07BLTB26,"Caixa Central de Crédito Agrícola Mútuo, CRL",Portugal
2138004FIUXU3B2MR537,Caixa Económica Montepio Geral,Portugal
TO822O0VT80V06K0FH57,Caixa Geral de Depósitos SA,Portugal
5493009W2E2YDCXY6S81,Novo Banco,Portugal
549300ORLU6LN5YD8X90,Banca Comerciala Romana SA,Romania
549300RG3H390KEL8896,Banca Transilvania,Romania
5493008QRHH0XCLJ4238,BRD-Groupe Société Générale SA,Romania
549300S2T3FWVVXWJI89,"Slovenská sporiteľňa, a.s.",Slovakia
3157002JBFAI478MD587,"Tatra banka, a.s.",Slovakia
549300JB1P61FUTPEZ75,"Všeobecná úverová banka, a.s.",Slovakia
549300271OUEJT4RYD30,Abanka d.d.,Slovenia
549300J0GSZ83GTKBZ89,NOVA KREDITNA BANKA MARIBOR D.D.,Slovenia
5493001BABFV7P27OW30,"NOVA LJUBLJANSKA BANKA D.D., LJUBLJANA",Slovenia
549300O2UN9JLME31F08,UniCredit Banka Slovenija d.d.,Slovenia
9598003BP0LHPHDWV834,ABANCA Holding Financiero,Spain
K8MS7FD7N5Z2WQ51AZ71,"Banco Bilbao Vizcaya Argentaria, SA",Spain
95980020140005900000,Banco de Crédito Social Cooperativo SA’,Spain
SI5RG2M0WQQLZCXKRM20,"Banco de Sabadell, SA",Spain
549300PY124PITBSWN73,Banco Mare Nostrum,Spain
80H66LPTVDLM0P28XF25,Banco Popular Español SA,Spain
5493006QMFDDMYWIAM13,Banco Santander SA,Spain
VWMYAEQSTOPNV0SUGU82,Bankinter SA,Spain
549300TJUHHEE8YXKI59,BFA Tenedora de Acciones,Spain
959800DQQUAMV0K08004,"Criteria Caixa Holding, S.A",Spain
549300OLBL49CW8CT155,Ibercaja Banco,Spain
549300U4LIZV0REEQQ46,Kutxabank,Spain
635400XT3V7WHLSFYY25,Liberbank,Spain
5493007SJLLCTM6J6M37,Unicaja Banco S.A.,Spain
1FOLRR5RWTWWI397R131,AB Svensk Exportkredit - group,Sweden
EV2XZWMLLXF2QRX0CD47,Kommuninvest - group,Sweden
6SCPQ280AIY8EP3XFW53,Nordea Bank - group,Sweden
H0YX5LBGKDVOWCXBZ594,SBAB Bank AB - group,Sweden
F3JS33DEI6XQ4ZBPTN86,Skandinaviska Enskilda Banken - group,Sweden
NHBDILHZTYCNBV5UYZ31,Svenska Handelsbanken - group,Sweden
549300C6TUMDXNOVXS82,Länsförsäkringar Bank AB - group,Sweden
M312WZV08Y7LYUC71685,Swedbank - group,Sweden
549300Z1UDXFNOBBUI23,J P Morgan Capital Holdings Limited,United Kingdom
G5GSEF7VJP5I7OUK5573,Barclays Plc,United Kingdom
5493004FUULDQTMX0W20,Citigroup Global Markets Europe Limited,United Kingdom
2138004G59FXEAZ6IO10,Coventry Building Society,United Kingdom
E58DKGMJYYYJLN8C3868,Credit Suisse International,United Kingdom
549300FK5LWVMQ9QY386,Credit Suisse Investments (UK),United Kingdom
549300WPHVCYP8NG8D50,GE Capital International Holdings Limited,United Kingdom
549300RQT6K4WXZL3083,Goldman Sachs Group UK  Limited,United Kingdom
MLU0ZO3ML4LN2LL2TL39,HSBC Holdings Plc,United Kingdom
549300PPXHEU2JF0AM85,Lloyds Banking Group Plc,United Kingdom
5493004I1J5XW2WFNE95,Merrill Lynch UK Holdings Ltd,United Kingdom
U7M81AY481YLIOR75625,Mitsubishi UFJ Securities International PLC,United Kingdom
LSMWH68Y2RHEDP8W5261,Morgan Stanley International Ltd,United Kingdom
213800HIEOF954KNG142,National Australia Group Europe Limited,United Kingdom
549300XFX12G42QIKN82,Nationwide Building Society,United Kingdom
549300IU15NXFPV2FC82,Nomura Europe Holdings PLC,United Kingdom
TXDSU46SXBWIGJ8G8E98,RBC Europe Limited,United Kingdom
U4LOSYZ7YG4W3S5F2G91,Standard Chartered Plc,United Kingdom
213800TLZ6PCLYPSR448,The Co-operative Bank Plc,United Kingdom
2138005O9XJIJN4JPN90,The Royal Bank of Scotland Group Public Limited Company,United Kingdom
REYPIEJN7XZHSUI0N355,UBS Limited,United Kingdom
213800TAU9ZX2WZNCO64,Virgin Money Plc,United Kingdom
WXD0EHQRPI7HKN3I5T57,Yorkshire Building Society,United Kingdom
213800HZ54TG54H2KV03,MIZUHO INTERNATIONAL PLC,United Kingdom
